"study_alias","study_desc","nct_number"
B9E-MC-V323,Sensitivity of pleuritis carcinomatosa pts. to Gemzar,
"10898",Prevalence and characteristics of PPS in MDD patients,
H3E-IT-O023,Ph I alimta/Cisplatin + RT IIIB N2 NSCLC,
F1J-SB-O018,A fMRI study in MDD,
H6Q-MC-A018,Enzastaurin in CLL,
B4Z-SB-B007,Obs. study Atomoxetine and adolescents,
H9H-MC-JBAG,Biomarker Method Study 50 Pts,
F1D-PL-O204,Efficacy of oral Olanzapine in first episode schizophrenia,
B9E-EY-S372,Phase II trial Gem+Navelbin as 1st line chemotherapy for MBC,
B9E-PL-O355,Neoadjuvant therapy of advanced bladder cancer,
H6U-MC-V001,Kallakrein 6 Levels in Human CSF and Plasma (In Vitro),
H6P-MC-HDAT,OFC for maintenance of effect in bipolar depressed pts,
B4Z-US-LYCF,Autism,
"8024",Patient Registry (switching from zyprexa to other atipicals),
H4S-SB-O045,DECHEND-Abcixmb diabetes mellitus in PCI,
B9E-XB-V220,EGFR expression in  NSCLC patients,
F1D-SZ-O225,Effect of antipsychotic medication on psychopathology,
B9E-MC-S340,Ph II Intravesical Gem for Superficial Bladder CA,
B9R-EW-GDDZ,SAFETY AND EFFICACY OF SOMATROPIN IN ELDERLY WITH HIP FRACT.,
B9E-US-X391,Ph II Gem + Irinotecan + Celecoxib in pts w/Hepatobiliary CA,
"8293",PPAR Co-agonist IV Pilot Formulation Bridging Study,
"8306",Phase II Study Indolent Hematological Malignancies,
"8309",Krum-Effect of PKC on collagen prod. in cardiac fibroblasts,
B9R-JE-CMP1,LY137998 COMPASSIONATE USE,
F1K-MC-O014,rhAPC in patients with submassive pulmonary embolus,
"8371",Pioglitazone in the treatment of type 2 DM: observational,
B9E-MC-V230,PK study in Gemcitabine,
F1K-US-V009,Determin.of the Charge Valence of Drotrecogin Alfa (Act.),
F1D-US-A117,Neuroprotective Effects of Olz in Developing Mammalian CNS,
"8421","Ph I, ALIMTA + Gem (FDR) in Colorectal Cancer",
F1D-US-X240,"Retrospective Olz, Clozapine + Risperidol in schizophrenia",
B4Z-LC-LYDN,Definitive bioequivalence new pediatric formulation,
B9R-MC-I017,USE OF GH IN COUNTERACTING THE CATABOLISM OF CROHN'S DISEASE,
"8546","McVeigh (ex-vivo) ""Effect of PKC inhibition on platelet..""",
F1D-MC-A119,PFC Transmitter Systems & Cognitive Flexibility,
"8595",Post-launch observational study Forsteo,
F1D-TW-O244,"efficacy, safety of Olanzapine for TD, neuropsychological fu",
"8627","Ph 2, ALIMTA+Platinum (plat-sensitive) - OUS",
"8642",Exendin-4: Oral contraceptives,
"8650",M1 agonist: EEG,
B9R-MC-X009,IDENTIFICATION OF CHILDREN WITH BIOINACTIVE GH SYNDROME,
H6Q-MC-S011,Ph II ENZ in follicular lymphoma--pgx,
H3E-MC-V115,Meso Cell Growth by Alimta in Combination w COX-2 inhibitor,
H6D-MC-LVGF,Peri-prostatectomy,
B9E-US-S364,Ph III - ATC vs AC ->Taxol  vs AC ->Gem+Taxol - Breast,
"8769","R Ph II, 1st Line ALIMTA HD/Ca vs ALIMTA 500/Ca - NSCLC",
H3E-MC-V013,Non-Clinical Pharmacological Study of Drug Uptake in CNS,
F1J-XM-B001, Epidemilogical study of prevalence and symptoms of depressi,
F1D-FP-B009,B009 Follow-up study of French EMBLEM cohorte during 3 years,
H7R-MC-GCCH,Atherosclerotic Regression,
B9E-BX-JHSQ,Phase II Trial with gemcitabine and RT in NSCLC,
"9027",GH in obeses patients,
"9059",Torp-Pedersen--Importance of diabetes and diabetic act...,
"9099",ICR open-label Cymbalta,
H6D-EW-LVGG,Oral Dissolve Relative Bioavailability,
H9G-LC-GXAE,Caloric Intake (Biomarker),
B9E-BP-O408,Gemcitabine & split dose Cisplatin in NSCLC,
H3E-MC-V019,Transfer of 200mg ALIMTA,
F1K-IT-A003,APC in Pig Model of Lung Injury (dose finding study),
H3S-CA-O122,FORCE Study,
B9E-GV-B002,Gem.+ Carboplat. Prosp. Obs. Study in Relapsing Ovarian Ca,
B4Z-US-S011,Strattera Real-Time Observational Pilot (RTOP) Study,
F1D-US-X258,Increasing specificity of neurocog improvement,
B3D-AG-B006,PTH in severe osteoporosis,
B9E-XM-O421,GEM-CIS FOLLOWED BY CARBO-PACLITAXEL IN OVARIAN CA,
B9E-US-S363,Ph III 6-arm trial of multiple agts in recurrent ovarian CA,
H3E-US-S060,Alimta/Gem Biweekly H&N 1st line,
"9462",Xigris IIT Australia 2004,
H9X-MC-GBCD,MDSS (proof of concept) GLP1-Analog IV-FC,
F1D-LC-HGAF,INTERACTION OF LY170053 AND BENZTROPINE MESYALTE,
"9559",PPAR alpha agonist 2nd generation,
F1D-LC-HGAM,ORAL OLANZAPINE: SAFETY AND PK STUDY IN THE ELDERLY,
B9E-XM-O436, Gem+txt bisemanal vs standar (Across-Arco),
F1D-LC-HGAT,"OLANZAPINE: BIOAVAIL. WITH CIMETIDINE, ANTACID AND CHARCOAL",
H7U-MC-IDAY,Oral Agent Failure,
H7U-MC-IDBA,Glargine Add-on Trial,
H9H-MC-A001,Animal Profiling Study,
F1J-JE-105G,BIOEQUIVALENCY STUDY:  L5*2 VS L10,
B4Z-US-X038,rCBF Correlates of Cognitive Treatments in Schizophrenia,
H3E-MC-JMHD,POINTBREAK_Ph III A/Plat/Avas - 1st line NSCLC,
H3E-MC-JMHF,R Ph II ALIMTA 500 vs 900 in plat-resistant pts in Ovarian,
F1D-SB-B018,PROTECT Obs. study Phasenprophylaxe,
H6Q-LC-JCAW,PPI Biopharm Study (fed and fasted state),
"9809",Multi-Dose Caloric Intake Study,
H6Q-MC-JCBE,"Ph II, Single Agent Enzastaurin in recurrent glioblastoma",
B9E-IT-O454,Gemcitabine in combination in Lymphoma,
"9859",Atomoxetine effect on cognition in children with ADHD,
H3E-US-X026,Ph II Feasibility Cisplatin/ALIMTA in Malignant Pleural Meso,
B4Z-FW-LYDP, Strattera/inhaled Salbutamil drug interaction study,
"9931",Product Team Dummy Account for Business Purposes (IITs),
H9U-LC-MDBC,C-14 study,
B5K-GH-O447,"Intensive Insulin on homocysteine, folic acid & Vb12 in diab",
H3E-US-X046,Ph I/II Pemetrexed & Erlotinib in Advanced Solid Tumors,
F1D-CA-O276,Effects of Olz & Lithium on Brain Activation in BP Dep`d Pts,
B9E-BL-O456,PH 2 Neoadj (AC) followed by (GP) in Local advanced BC,
B9E-MC-V254,(hENT1) Gene Expression and Gem Lung Cancer,
H9Z-MC-RKAB,DPP-IV Inhibitor Analog I Phase 2 study,
H6D-MC-O006,Tadalafil co-administered with Testosterone,
H4S-MC-X024, Coronary Revascularization in Diabetic Patients - FREEDOM,
B9E-MC-V247,Gemcitabine Pharmocogenics,
B9E-MC-V256,T Cell Giomarker for oral gem FHD study,
H3E-MC-V059,Evaluation of in vitro assays w ICOS chk-1 inhibitor,
F1J-US-X010,Investigation of Duloxetine for the Treatment of Depression,
F1D-MC-HGEC,OLANZAPINE VS OTHER ANTIPSYCHOTICS IN PSYCH REHAB SETTING,
H8Q-MC-GQAH,Carbon-14 ADME Study LY2066948,
H3E-US-X050,Feasability of adjuvant chemo w/ Carboplatin & Alimta NSCLC,
ZYY-FW-GCCM,Exploratory biomarker study,
"10315",Placeholder for trial H8O-MC-B003 - no. 10028,
H6Q-MC-A005,Effect of enzastaurin on lung cancer in mice,
"10368",Dalanza;ine local trial,
B9E-US-X452,Ph I Biweekly Gem & Paclitaxel & Radiation Head/Neck Cancer,
F3Z-PT-IOEH,DIABETES TYPE 1,
F1D-US-X281,Study to Establish Population Norms for the Brief Assessmen,
B9E-US-X446,Ph II Combo Bortezomib & Gem for Non-Hodgkin's Lymphoma,
"10010",Phase II trial Alimta in breast cancer (Spain),
H3S-CA-O132,Identify Gene for Hereditary Form of Osteoporosis in Family,
H3S-IT-O133,Raloxifene on human osteoarthritic condrocytes  (IIT study),
F1D-SB-B020,Early retirement in pts. with schizophrenia; HO,
F1D-XM-B024,Epidemilogical study,
B9E-MC-V336,Gem TP,
H6D-MC-LVGV,Cialis PAH Study #1,
B9E-US-X449,Ph II Weekly nab-Paclitaxel combo Gem in Breast Cancer,
B9E-JE-BT22,JP gem P-II BTC,
H3E-MC-V043,Intra-Plueral Adminis of Pem for Malignant Plueral Effusion,
H6Q-MC-V001,Inhibition of sarcoma cell lines by enzastaurin,
H3E-US-X051,"Ph. I/II Docetaxel,Alimta with Neulasta Breast&Solid Tumor",
F1D-MC-I003,Olanzapine in Tx Resistant Schizophrenic Outpatients,
B7A-LL-A008,Smirnova-cardiac complications in diabetes,
H6Q-MC-A007,Enzastaurin efficacy in multiple myeloma cells,
H3E-MC-V087,Intravesical pemetrerxed alone/in combination w bladder canc,
"10344",Phase 2 FED Dose-ranging Study,
B7A-LL-A013,Prevention of CV Dysf in D-Mellitus,
H4S-PL-O067,EURO TRANSFER -Transfer for pPCI-registry,
B3D-LC-GHCZ,TIP Pulmonary Flow Rate Trial without trial drugs,
H3E-MC-V078,Characterize binding of Anti &Folates BrushBorder Kidney,
B9E-BP-O469,Gem/Carbo dose dense in advanced breast cancer,
B9E-FP-O470,IIT-Biliiary tract tumours B9E-FP-O470 /FFCD,
"10616",Placeholder for local support Olanzapine,
H7T-EW-TABO,CYP3A4 Probe Study Clopidogrel Active,
F1J-US-A005,SUI: Est of Basic Science Model for Eval of Pharmacotherapy,
"10701",NESDA,
"10713",Ph II Alimta/Carbo in AT Failures In MBC,
H3E-US-B001,Evaluating Choice of Txt in Observed NSCLC (Observational),
H6Q-MC-S023,RPhII Enz vs Faslodex vs Fas + Enz in Er + Al Failuares-Brst,
F1D-SP-HGEY,OLANZAPINE VS. HALOPERIDOL STUDY,
I1V-MC-EIAA,CETP SDSS,
B9E-AY-O476,Phase II study of dose-dense chemotherapy in early Br ca,
F1D-MC-X006,OLAN. SAFETY & EFF. IN PTS W/BORDERLINE PERSONALITY DISORDER,
B1Y-ME-I015,Influence of Serotonergic and Noradrenergic Systems in MDD,
H3E-US-X040,Ph I/II Alimta + Bortezomib in malignant effusion or NSCLC,
"10078",CB-1 C14 study,
"10126",PPAR gamma Delta Phase 2 study in Type 2 Diabetes,
B9E-MC-V251,HPLC Method for Analysis of Gemcitabine,
F1D-UT-O279,Staisfaction of bipolar patients with their treatment,
B7A-LL-A012,LY on SREBP-1c in mice,
I1I-EW-GECB,MDSS GLP-I AnalogV  PEG,
"10386",MDSS (14 day),
H8Z-JE-JACT,JP Survivin ASO P-I,
H3E-US-X052,"PhII Alimta/Carbo Ovarian, Peritoneal, Fallopian Tube Cancer",
"10535",Ph II - 1st line - Folfox/Enz - CRC,
B9E-MC-V283,An LC/MS method for the determination of dFdCTP,
I1A-MC-BPAF,ERbeta 14C Study,
H3E-MC-V081,Modulation of prostate tumour cell function/behav after pem,
"10685",Food Effect on the bioav of LY517717 D-tartrate,
F1D-MS-HGCD,PHARMACOKINETICS OF OLANZAPINE AND METABOLITES,
F1D-UT-HGES,OLANZAPINE IN REFRACTORY BIPOLAR/SCHIZOAFFECTIVE DISORDER,
"10892",Local placeholder for B3D-US-GHCV,
H7T-EW-TABV,CS747 Hepatic Impairment,
"10913",CTNR on depression in Parkinson,
F1J-SB-O019,A pilot study with fMRI,
F1D-CP-B028,Eval. of effectiveness of Solutions for Wellness program,
H3E-MC-V118, Effect of Alimta /vinorelbine against NSCL Cancer cells,
H6Q-MC-JCBU,Enzastaurin DDI w/Antacid,
F1J-US-X025,Prevention of Depression and Enhancement of Cognitive Recove,
H6Q-MC-S040,"Open label, Ph 1 safety enza+ bortezemib in multiple myeloma",
B5K-CY-B006,Non-Interventional Eval. of Educ. Program Diapartner (NEED),
"11178",Treatment of human pancreatic carcimona in nude mice,
F1J-LC-HMAO,PILOT BIOEQUIVALENCY STUDY: DULOXETINE HCL ENTERIC COATED,
H6U-MC-S004,LTD4-induced Wheal Biomarker Study,
H8O-MC-A009,Circadian Clock Reg of Appetite/Insulin Secretion ,
F1J-MC-SAAE,'ULOXETINE FOR URGE UI MULTIPLE DOSE SAFETY/EFFICACY STUDY,
F1J-JE-HMFH,"JP Dulo P-III DB Study Managed by Shionogi Company, Ltd.",
"11432",RBA Intravenous vs subcutaneous in NHV for LY2525623,
H3E-MW-S108,Efficacy and  safety of Alimta/Cis in gastric cancer,
"10891",Local placeholder for B3D-US-GHCV,
H3S-XM-O135,Study extension:Raloxifene at the osteoclastogenesis,
"11060",MDSS + Pain model,
F1J-MC-I010,Open label pilot of dulox in prevention of episodic migraine,
I1K-MC-GLUC,"Safety, Tolerability, PD and PK of LY2405319",
F1J-LC-HMAE,LY248686 HCL (DULOXETINE): INFLUENCE ON MOOD OF NORMAL VOLUN,
H6Q-MC-A024,enzastaurin efficacy in TCC with gemcitbine,
H7T-EW-B001,obs study of anti-platelet therapy post-PCI in ACS patients,
I1N-MC-CDBA,"Phase 1, Safety, Tolerability and PK study of LY2300559",
"11234",Drug Interaction Study: Sulfonylureas (glyburide),
H6L-MC-LFAX,Warfarin drug interaction,
"11349","Non Pivotal Phase II/III Emerging, Combo Therapy",
"11360",Ph III/IV Safety Study,
H9X-MC-GBCI,"GLP-FC restoration of 1st phase insulin, glucagon",
F3Z-GH-IOPA,humalog low mixture in insulin-requiring diabetic patients,
H8K-MC-JZAG,"Phase II: Ovarian Cancer, Advanced / Metastatic",
"10516",Local Placeholder for H3E-SB-S089,
F1D-XM-B026,Epidemiological study in Bipolar Patients,
F1D-MC-X014,OPEN-LABEL OLAN. IN SCHIZOTYPAL/BORDERLINE PERS. DISORDER,
H3E-MC-V072,"Folate Antagonist, Pemetrexed, against Carcinoma Cell lines",
F1J-MC-I003,Dulox to Tx OCD (obsessive compulsive disorder) - IND Exempt,
F1D-MC-X025,EFFECT OF OLANZAPINE VS RISPERIDONE ON COGNITIVE FUNCTION,
B9E-US-I156,PhI/II IMOxine w/ Gem & Carbo in Patients w/ NSCLC,
H3E-MC-JMIC,Ph 4 Alimta 2nd Line NSCLC (post commitment Taiwan),
B9E-MC-V314,Sensitivity of Human renal cell carcinoma to Gemzar,
B9E-MC-V320,Gemzar loaded novel cationic liposomes on adenocarcinoma,
H3E-MC-V097,Interplueral admin. of ALIMTA for malignant plueral effusion,
B9E-FP-O479,IIT-Breast - Gem+Paclitaxel  B9E-FP-O479 Namer /OSMO,
H6D-MC-X006,Tadalafil long-term therapy to alleviate recurrent priapism,
F1J-BL-O020,correlation between depression and cerebral apotosis,
H6Q-MC-V019,Enzastaurin with alimta in various cell lines,
F1J-MC-B022,Son of DUROSA trial,
B9E-US-X457,PhII Gem & Doxil for Metastatic Renal Cell Carcinoma,
H9P-MC-A001,Monkey trial for NERI IV,
H8O-MC-X001,Effects of Exen vs Lantus on Vas Function,
H3E-IT-V130,Pemetrexed and gemcitabine interaction in bladder cancer cel,
B9E-US-X459,PhII Intravesical Gem in Superficial Bladder Cancer,
H6Q-MC-V029,Enz and gemzar effects on pancreatic cancer cells,
"11325",Randomized Phase III Monotherapy vs SOC for STS,
"11358",RA- PhIII/IV - LY+MTX vs MTX (TNF INR on stable MTX;S&Sx),
F1K-LC-GUAD,LY203638(RAPC):DOSE-RANGING STUDY-6 AND 24HR INFUSIONS (II),
"11446","PhI, FHD for LY2447782 (Tumor Type TBD)",
"11493",Ph II Enzastaurin 2007 CRC Trial #1,
H6Q-MC-S056,Ph II Rituxan-based Therapy in DLBCL,
F1K-TW-O042,Clinical Effectiveness of Xigris in Combination with ECMO,
I1W-EW-GBFB,Multi dose safety /PET Study  (MDSS/PET),
H6D-MC-LVHP,Ocular Blood Flow,
"11696",Placeholder for exenatide regional trials,
F1J-MC-A008,Dulox on Substance P Release in the Spinal Cord,
"11704",Planning for LC000082 AKT-1 Inhibitor,
"10495", Local placeholder for B9E-SB-O422,
H7U-MC-IDBI,IDAS Extension,
H7T-MC-V005,Effects of Pras on PLT Pro-coag InVitro/ExVivo,
H7T-MC-V006,P2Y12 Evaluation,
H6D-EW-LVHM,PAH Clin Pharm Interaction Study #2,
H3E-MC-V108,Reversal of Alimta resistance colon cancer cell lines,
"10711",Ph II Alimta in High Risk Superficial Bladder Cancer,
"10773",US microalbumin and retinopathy concept,
B9E-MC-V305,PK + Mononuclear Cell Accumulation of Gemzar in Dogs,
"10836",FHD trial for furture cmpd FC000072,
H9T-MC-NABK,OpRa II C14 Metabolism study,
H9T-MC-NABM,Relative Bio-availability and Food Effect,
F1J-EW-E001,DULOXETINE A PILOT STUDY IN MAJOR DEPRESSIVE DISORDER,
H6Q-MC-V023,Enz and mantle cell lymphoma,
H3E-MC-A002,Repeated intrapleural chemo for MPM using mouse model,
I1L-MC-GAEA,SAM Classic/sibutramine combo Wt Loss Proof-of-Concept,
H6O-FW-O003,Pilot study - cell based bioassay for steroid hormones,
"11093",Glucagon -R Phase 1b/POC,
F1J-US-X028,The Efficacy and Tolerability of Duloxetine for the Treatmen,
"11111",Olanzapine obs study of pharmacological treatments,
"2389",Olz treatment of Children with Severe Emotional Disturbance,
F1J-JE-221G,EARLY PHASE II STUDY IN PSYCHOSOMATIC FIELD,
"11205",FHD for future Compound FC000083,
F1J-MC-HMAH,DULOXETINE 20/30 MG VS PLACEBO IN MAJOR DEPRESSION,
"11270",Mexican PK Study (Placeholder),
H6U-MC-X006,CYP2C19 Screening Protocol,
H6D-EW-LVHN,Elderly BPH Pharmacokinetics Study,
F1K-LC-GUAB,LY203638:DOSE-RANG.STUDY WITH SHORT INFUS. TO STEADY STATE,
F1K-MC-EVAA,RECOMBINANT ACTIVATED PROTEIN C (R APC) IN SEVERE SEPSIS,
I1F-MC-RHAE,Phase 2 - Efficacy of LY2439821 in RR Multiple Sclerosis,
H8Y-JE-HBBG,JP mGlu2/3pro II SD/MDSS,
"11487",Ph II ENZ (+Xeloda) Open-Label PGx Trial,
H6Q-MC-S049,Ph I/II Enz Pgx Trial in Pancreatic Cancer (Mayo) SPORE Gran,
I1X-MC-BDAC,"Phase 2, LY2525623 (LA328) Efficacy in RRMS",
F2X-LC-HIAC,DAPOXETINE HYDROCHLORIDE: ADME OF 14 C LABELED DOSE,
H4S-AY-X028,ReoPro Ambulatory Study,
H8R-MC-S002,PTSD Phase 1b POC study,
F1D-MC-A140,Stdy Effects of Chronic Antipsychotic Trtmt on Rat Adipocyte,
F1D-MC-A141,Antipsych Drug Reg of Neural SC & Neurogenesis Mamm Brain,
F1J-US-X042,A Placebo Controlled D-blind of Dulox for Small Fiber Neurop,
H8O-US-GWCO,Add exenatide to existing insulin therapy,
F3Z-FP-IOEB,LISPRO VERSUS ACTRAPID FOR EXTERNAL PUMPS IN DIABETICS TYPEI,
B9E-US-X464,PhI Bortezomib & Gem in Elderly Patients w/ Solid Tumors,
H9B-MC-BCDI,RA Open Label - safety follow up,
"11779",RA- PhIII/IV-LY+MTXvsMTX (MTX INR on Stable MTX;S&Sx,
"11785",China Local IIT Placeholder,
B1Y-EW-E071,FLOUXETINE TREATMENT OF BULIMIA,
H3E-US-I024,"Ph II Pem/Gem plus Avastin1st line chemo for elderly, NSCLC",
F3Z-MC-I005,INSULIN LISPRO IN A WOMAN WITH SEVERE INSULIN RESISTANCE,
H6E-AY-O014,Anti-inflam effect of Actos-acute stroke:double blind placeb,
"11919",DDI- Antibiotics,
"11945",CETP Combination Study,
F3Z-MC-IOBY,OPTIMIZATION OF INSULIN LISPRO ANALOG IN MAN,
H7T-MC-X002,Accu. in ASA resistant on Clopidin pts with CAD (DANART),
"11477",Efct of RBX in Pts w/Vision Loss <1 Month OD duration w/DME,
H4S-US-X029,non-randomized data collection on pts with acute MI (IIT),
F1D-MC-X300,Effect of Betahistine on weight gain due to olanzapine tx.,
H4S-BP-O074,Acute Intervention for ST-Elevation Myocardial Infarction: P,
H3E-US-I020,PhI Sutent & Alimta for Ovarian & Breast Cancer,
I1Q-MC-JDDE,Phase II Myostatin - hip replacement surgery,
"11717",Non-inferiority A1c Basal / NGS see commnets,
F3Z-EW-B004,TREAT Treatment Parameters for Optimal Glycemic Cntrl Type 2,
F3Z-IT-IOEC,OPTIMIZATION OF INS.THERAPY IN TYPE I WITH LYSPRO+HUMULIN I,
"11809",NPL PK/PD 1,
F1D-EW-HGMW,Zyprexa Adhera study in schizophrenia,
I2G-FW-ALBB,Single Dose Safety & Alcohol Interaction Study,
"11887",Phase1b POC,
B4Z-US-X055,Efficacy & safety of Atomoxetine & parent behavior training,
H3E-JE-SC01,JP Alimta ph1 SCLC,
H6D-EW-LVCS,ICOS Japanese EW study 1,
H3E-BP-V132,Lab study of genetic/receptor markers in MPM,
"11733",Combines Chemoimmunotherapy  with Dendritic/tumor fusion cel,
H7T-EW-TACK,BE Study-Assess in vivo performance of APIs of various size,
F1J-IT-O029,IIT Observational study on QoL in GP Patients,
B4Z-SB-O015,Driving Performance in ADHD Patients Treated with Atomoxetin,
F1D-KL-O304,Penn Alcohol Craving Scale (PACS-K) in Korean Alcoholics,
"11873",Multiple Dose PET Study,
F1D-FH-O307,olanzapine in bipolar disorder,
H7T-MC-V020,Clop AM analysis for rifampicin/Clopidogrel DDI study,
F3Z-CR-IOPI,Diabetes Nurse Educator study,
F3Z-MC-IODJ,PHARMACOKINETICS OF INSULIN LISPRO FIXED MIXTURES,
"12072",VTE Prophylaxsis #2 (Knee),
I2Q-MC-GMAF,MDSS in HV and T2D subjects,
B3D-AY-O015,PTH sensitivity testing for the diag of psuedo-hypoparathyro,
H8O-MC-GWCT,GWBR Extension (LAR vs Lantus),
B4Z-AY-O020,ADHD Controlled Trial Investigation Of a Non-stimulant,
F1J-MC-V001,Therapeutic Drug Monitoring of Duloxetine,
H8Y-MC-HBBO,"long term, open label",
H8O-MC-A016,Preservation of insulin gene exp by exen tx IV,
H8O-EW-GWCJ,Gall Bladder (BID),
F3Z-MC-IOCF,INSULIN LISPRO IN PREPUBERTAL PATIENTS WITH TYPE I DIABETES,
H9V-JE-GFRD,JP TGFb antibody P-II,
H7T-MC-TACM,Prasugrel Loading Dose washout estimated by Accumetrics,
"12036","A Double-Blind, Randomized, Placebo-Controlled Trial of Rimo",
F3Z-MC-IOFC,INSULIN LISPRO LOW MIXTURE:  LONG TERM MONITORING OF SAFETY,
F1D-MC-X307,Eval. risks of arrythmia & sudden death assoc w/anti-psych,
H4Z-MC-GJAU,Definitive Bioequivalence for Arzoxifene,
F1D-US-A149,Modeling a Putative Role for Oligodendrocytes in Pathophysic,
H4Z-MC-GJAW,Effects of Aroxifene and BP Comparator on Bone Turnover,
B4Z-TW-O021,Effect of Atomoxetine on Neuropsychological tests and fMRI,
H6D-MC-A013,Effect of tadalafil at a clinical dose on chloride secretion,
B9R-IT-O051,GH secretion in ps with or without HIV-related lipodistrophy,
"12275",Labelled LY2062430 ADME Study (Placeholder,
B7A-MC-V019,Mech. of Glucose-induced s-oxide production by rat,
B4Z-CR-B015,Ph IV Obs Study of Tx Patterns & Functional Outcomes in ADHD,
B5K-KL-O454,the effect of high fat diet in insulin pathway,
I1V-MC-EIAF,CETP Phase 2 Monotherapy/Statin Combo,
"12486",IIT Humalog - PLACE HOLDER,
B3D-HL-O020,The effectiveness of teriparatide in clinical practice,
F3Z-FR-O073,IIT - inter sans pdt,
F3Z-FR-V009,IIT - Dr Mallone - Ex NCR,
F3Z-VI-IODC,SAFETY AND EFFICAY OF LISPRO,
"12577",MCHR-1 C14 Study,
"12580",SPECT CRH-1 effort 3 receprtor Occupancy,
H9V-MC-GFRE,FHD Phase I Dose Escalation Study of LY2382770 - Metastatic,
H3E-BP-O042,LLCG ET study - ERCC1 directed in adv/met NSCLC,
I2K-MC-ZZAR,"8 Week Mid-Term Non-Elderly (1)",
H2Q-EW-LKAE,XANOMELINE TTS ADHESION AND PK OF PEPT PATCHESVSWOVEN TEXT,
H8C-MC-LQBT,OA pain Naproxen Adjunctive study #1,
F1J-MC-HMGE,Duloxetine Adolescent (13-17yrs) Fibromyalgia,
"12872",Dirucotide Open Label Extension - RRMS,
"11573",placeholder study for relative bioavailability 250mg tablet,
I1Y-MC-JFBA,FHD Study for Eg5 - LY2523355,
H6Q-JE-NS12,JP ENZ PhI comb w/ Alimta in NSCLC,
"11718",Non inferiority A1C BBT/ NGS - see comments,
"11746",preclinical evaluation of pemetrexed against cell lines,
"11787",China local IIT Placeholder,
B3D-XM-O013,THE ADMINISTRATION OF A BONE ANABOLIC AGENT ON THE ARTICULAR,
H3S-MC-I008,Raloxifene VS Letrozole  NSABP P4,
H7O-MC-S002,Collection of Blood Samples from Subjects with PCV,
"11882",Role of uptake transporters expressed in the kidney to the,
"11889",Bone & Muscle Biomarkers - Testosterone & Aromatase Inhibitr,
I2M-MC-GSDA,Phase 1 SDSS/POC Safety and Tolerability,
H7T-MC-V024,Effects of pras AM on Acc P2Y12 base channel formulation,
F1J-MC-B027,Retrospective psychobehavioral study,
H3E-US-I025,Ph I Alimta + Cisplatin & Paclitaxel given IP in Ovarian Cnr,
I1R-FW-GLBD,LY2409021 drug-drug interaction study,
H8G-MC-EPBN,Definitive BA/BE,
H7T-MC-TACN,Pras. vs Clop in Pts. of African Descent,
B9E-US-I163,Phase III Immed. post-TURBT Gem vs. Saline in Bladder Cancer,
"18686",ABA Placeholder,
"12041",Seamless Study,
B4Z-SB-B012,COMPLY Obs. Study Strattera Adherence + Compliance,
F1D-XM-O317,Validation of a cost benefit model,
"12101",MDSS in Patients with T2DM,
I2R-MC-BIAD,"Type 1 diabetes patients, Phase 2",
F1J-IT-O032,Safety and tollerability of Dlx. in elderly pts. with MDD,
"12259",Adhera Drug Needs for Marketing Demos,
H6D-US-LVHY,Sexual Health Counseling,
F1D-IS-O318,Genet'c chracteristics of schizophrenia mood and obsessive c,
I2X-MC-JBBB,Dose escalation in solid tumors w/MAK Inhibitor II/DDI/combo,
H3E-TW-B008,To identify use of EGFR TKLs or C/T in 2nd line NSCLC,
B9E-US-X470,Ph II Neoadjuvant Abrax + Gem + Dox + Cyclo in Breast Cancer,
"12545",Phase 2 Neuropathic Pain ,
H7I-MC-S008,Kinetic/Dos/Test/Retest H3 PET Ligand,
H3E-MC-V070,Alimta + Iressa in Lung Cancer,
"12574",CRF SPECT Ligand Dosimetry and Kinetics study (for CRH-1),
B3D-US-X019,Effect of PTH Combined with Weight-Bearing on Bone Density,
H9P-EW-LNBW,Bio-equivalence Study (Final commercial tablets),
H9P-EW-LNDA,Biopharm Ritonavir Study,
H8G-JE-EPBR,JP Factor Xa Inhibitor P-1b Prev CVA,
"12659",Evaluation of Memoirpen versus conventional injection pen,
B5K-GH-O456,insulin secretion in Ketosis-Prone Diabetes patients,
H2Q-LC-LZZG,"LY246708: PK SURVEY FOOD, DIURNAL & DOSE LEVEL EFFECTS",
"12761",Landmark Insulin Trail,
B1Y-EW-E083,FLUOXETINE: EFFECT ON WATER BALANCE IN DEPRESSED PATIENTS,
I2K-MC-ZZCC,Diabetes Drug Interaction,
"12862",BACE Renal Impairment Study,
H8O-MC-I013,Effect of Exenatide on Gatric Transit Time,
F1J-MC-HMGF,Elderly GAD registration study,
I3E-MC-MSAI,MINDSET-3: Dirucotide in RRMS,
"12880",R-Ph III-GemPro+/-(SOC) vs (SOC)-CRC,
B1Y-EW-E087,FLUOXETINE:EFFECT ON WATER BALANCE IN DEPRESSED PATIENTS,
B3D-US-X021,Role of PTH in Low Bone Mass in Anorexia Nervosa,
F1J-US-HMGK,OA pain vs NSAIDs,
H6D-MC-LVID,Cialis BPH EU Ph3 registration trial with Tamsulosin,
I2R-FW-BIAG,IV Adminstration of LY2605541,
H6D-EW-LVIK,Effect of Tadalafil administered OaD/PRN after prostatectomy,
I4H-MC-JWAA,"FHD p70 S6 Kinase/AKT Dual Inhibitor, ph1",
F1J-CA-O039,Early Detection of Antidepressant Efficacy Using Imaging,
